Company,Date,Amount,TFTD*,Series,Lead Investor,Coverage
Workflow Labs,8/18/2023,"$1,300,000","$2,800,000",Seed,,https://www.geekwire.com/2023/startup-helps-amazon-sellers/
Viome,8/18/2023,"$86,500,000","$175,000,000",Series C,CVS,https://www.geekwire.com/2023/genomic-testing-startup-viome-closes-86-5m-round-partners-with-cvs-to-sell-at-home-kits/
Spectrum Effect,8/16/2023,"$1,900,000",,,,https://www.geekwire.com/2023/spectrum-effect-which-uses-machine-learning-to-help-mobile-network-operators-raises-more-cash/
Integrate,8/15/2023,"$3,400,000",,,Hyperplane,https://www.geekwire.com/2023/integrate-funding-space-force-firefly/
Membrion,8/11/2023,"$5,500,000","$23,000,000",Series B,Samsung Venture Investment Corp. and Lam Capital ,https://www.businesswire.com/news/home/20230808238080/en/Membrion-Series-B-round-closes-at-12.5M
General Fusion,8/9/2023,"$25,000,000","$330,000,000",,BDC Capital and GIC,https://www.geekwire.com/2023/general-fusion-lands-25m-in-funding-announces-new-plans-for-demo-reactor-in-b-c/
ConductorOne,8/8/2023,"$12,000,000",,Series A,Felicis,https://venturebeat.com/security/cybersecurity-startup-conductorone-grows-funding-boost-least-privilege-access/
DropZone AI,8/8/2023,"$3,500,000",,Seed,Decibel Partners,https://www.geekwire.com/2023/seattle-startup-dropzone-ai-which-develops-autonomous-ai-security-agents-raises-3-5m/
Inrix,8/8/2023,"$70,000,000",,,Morgan Stanley,https://www.geekwire.com/2023/transportation-data-analytics-provider-inrix-lands-70m-from-morgan-stanley/
Wrench,8/7/2023,"$54,200,000",,,,https://www.geekwire.com/2023/mobile-car-repair-startup-wrench-is-raising-more-cash/
Source,8/1/2023,"$8,500,000","$12,200,000",Series A,M13,https://www.geekwire.com/2023/commercial-furniture-and-equipment-procurement-platform-source-snags-8-5m/
Propio,7/27/2023,"$43,000,000","$73,000,000",Series B,,https://www.geekwire.com/2023/fresh-off-fda-milestone-propio-lands-43m-as-it-readies-surgical-navigation-tech/
Augmend ,7/27/2023,"$2,200,000",,Pre-seed,Madrona Venture Labs,https://www.geekwire.com/2023/meta-and-microsoft-vets-land-2-2m-for-startup-building-shared-brain-developer-platform/
Protect Ai,7/26/2023,"$35,000,000","$48,500,000",Series A,Evolution Equity Partners,https://www.geekwire.com/2023/seattle-startup-that-helps-companies-protect-their-machine-learning-code-raises-35m/
A-Alpha Bio,7/25/2023,"$22,400,000","$51,000,000",Series A extension,Perceptive Xontogeny Ventures,https://www.geekwire.com/2023/a-alpha-bio-raises-22-4m-for-protein-discovery-platform-amid-surge-in-biological-data-demand/
Inspectify,7/24/2023,"$5,760,000",,,Fundrise,https://www.geekwire.com/2023/inspectify-which-sells-software-for-property-inspection-services-lands-5-7m/
Charmed,7/20/2023,"$400,000",,,Madrona Venture Labs,https://www.geekwire.com/2023/madrona-venture-labs-spinout-raises-cash-to-help-game-developers-with-ai-powered-tools/
Risc Zero,7/19/2023,"$40,000,000",,Series A,Blockchain Capital,https://www.geekwire.com/2023/blockchain-startup-risc-zero-grabs-40m-to-roll-out-developer-platform/
S!ng ,7/17/2023,"$2,700,000",,,,https://www.geekwire.com/2023/sng-a-musician-marketplace-for-nfts-and-physical-merchandise-lands-2-7m/
CurvaFix,7/14/2023,"$39,000,000",,Series C,MVN Partners,https://www.geekwire.com/2023/curvafix-raises-39m-aims-to-improve-pelvic-fracture-treatment-with-curved-surgical-device/
Tangibly,7/13/2023,"$6,500,000",,Seed,Madrona Venture Group,https://www.geekwire.com/2023/tangibly-a-seattle-startup-that-uses-ai-to-help-companies-protect-trade-secrets-raises-6-5m/
EchoNous,7/13/2023,"$7,000,000",,,Kennedy Lewis,https://www.geekwire.com/2023/echonous-maker-of-an-ai-powered-portable-ultrasound-system-raises-7m/
Jirav,7/12/2023,"$20,000,000",,Series B,Born Capital,https://www.geekwire.com/2023/financial-budgeting-and-analytics-platform-jirav-raises-20m/
SpecterOps,7/11/2023,"$8,500,000",,Series A,Ballistic Ventures,https://www.geekwire.com/2023/cybersecurity-startup-spectorops-snags-8-5m-in-series-a-extension/
FloraWorks,6/28/2023,"$2,250,000","$5,500,000",Series A,,https://www.bizjournals.com/portland/inno/stories/news/2023/06/28/floraworks-sleep-study-science-cbn.html?utm_source=st&utm_medium=en&utm_campaign=inno&ana=e_n&utm_content=po
Heard,6/23/2023,"$15,000,000","$26,300,000",Series A,Headline ,https://www.geekwire.com/2023/heard-raises-15m-to-expand-its-financial-tech-tools-for-mental-health-professionals/
AltPep,6/22/2023,"$52,900,000",,Series B,Senator Investment Group,https://www.geekwire.com/2023/biotech-startup-developing-tests-and-treatments-for-alzheimers-and-parkinsons-disease-raises-52-9m/
Outbound AI,6/21/2023,"$16,000,000","$23,000,000",Series A,Madrona Venture Group and SpringRock Ventures,https://www.geekwire.com/2023/healthcare-billing-and-claims-automation-startup-outbound-ai-raises-16m/
DexCare,6/21/2023,"$25,000,000","$146,000,000",Series C,Iconiq Growth,https://www.geekwire.com/2023/patient-appointment-booking-platform-dexcare-lands-75m-in-one-of-the-years-largest-deals/
Picket,6/20/2023,"$20,000,000",,Series B,LL Funds,https://www.geekwire.com/2023/real-estate-investment-and-property-management-platform-picket-lands-20m/
Humanly,6/15/2023,"$12,000,000","$18,000,000",Series A,Drive Capital,https://www.geekwire.com/2023/recruiting-automation-startup-humanly-lands-12m-as-it-doubles-down-on-ai/
Meetingflow,6/15/2023,"$760,000","$4,000,000",, PSL Ventures,https://www.geekwire.com/2023/ai2-incubator-spinout-pivots-raises-cash-to-help-make-sales-meetings-more-effective/
Worknet,6/13/2023,"$5,000,000",,seed and pre-seed,Act One Ventures and Founders’ Co-Op,https://www.geekwire.com/2023/after-selling-last-startup-to-zoominfo-sap-and-microsoft-vet-raises-5m-for-new-seattle-company/
Climate Vault Solutions,6/13/2023,"$9,400,000",,Seed, Inclusive Capital Partners Foundation,https://www.geekwire.com/2023/carbon-accounting-and-reduction-startup-with-unusual-strategy-launches-with-9-4m/
