Company,Date,Amount,TFTD*,Series,Lead Investor,Coverage
PulseLabs,,"$2,500,000",,Seed,Madrona Venture Group,https://www.geekwire.com/2018/pulse-labs-raises-2-5m-madrona-jeff-bezos-techstars-voice-app-testing-platform/
SheerID,,"$18,000,000","$29,600,000",B,Centana Venture Partners,https://www.geekwire.com/2018/sheerid-raises-18m-series-b-round-build-verification-layer-cloud-services/
Integris Software,,"$1,500,000","$4,500,000",,"Madrona Venture Group, Amplify Partners",https://www.geekwire.com/2018/integris-raises-another-1-5m-data-privacy-intelligence-platform-gdpr-deadline-looms/
NurseGrid,,"$5,700,000","$9,300,000",,Hatteras Venture Partners,https://www.geekwire.com/2018/nursegrid-raises-5-7m-scheduling-staffing-tech-platform-nurses/
Usermind,,"$23,500,000","$45,600,000",C,Northgate Capital,https://www.geekwire.com/2018/seattles-usermind-raises-23-5m-demand-marketing-tech-grows/
JetClosing ,,"$800,000","$5,200,000",,"Trilogy Equity Partners, Pioneer Square Labs",https://www.geekwire.com/2018/jetclosing-raises-cash-expand-mobile-first-real-estate-closing-platform/
DataCloud,,"$8,000,000","$9,300,000",,,https://www.geekwire.com/2018/drill-baby-drill-seattles-datacloud-raises-8m-cloud-based-mining-software/
Stratos Genomics,,"$20,000,000","$50,000,000",,Fisk Ventures,https://www.geekwire.com/2018/stratos-genomics-raises-20m-commercialize-fast-dna-sequencing-technology/
Immusoft,,"$3,000,000",,B,,https://www.geekwire.com/2018/gene-therapy-startup-immusoft-raises-3m-appoints-new-ceo-approaches-clinical-trials/
Critical Informatics,,"$1,100,000","$4,000,000",,East Seattle Partners,https://www.geekwire.com/2018/critical-informatics-raises-1-1m-expand-cybersecurity-platform-blends-human-expertise-software/
Wiserg,,"$19,200,000",,,,https://www.geekwire.com/2018/former-microsoft-amazon-exec-brian-valentine-takes-helm-wiserg-raises-19-2m-startup-turns-food-scraps-fertilizer/
Bioform Technologies,,,,,,
Climate Vault Solutions,,,,,,
AstrumU,,"$3,000,000",,,"Ignition Partners, Correlation Ventures",https://www.geekwire.com/2018/seattle-startup-vet-raises-cash-stealthy-astrumu-looks-bring-efficiency-higher-education-machine-learning/
Icertis,,"$50,000,000","$100,000,000",D,Meritech Capital Partners,https://www.geekwire.com/2018/icertis-raises-50m-series-d-funding-become-salesforce-contract-management/
SEEVA,,"$2,000,000",,,,https://www.geekwire.com/2018/seeva-raises-2m-hires-former-toyota-exec-help-self-driving-cars-navigate-tricky-weather/
